19001,ACİL YARDIM VE AFET YÖNETİMİ(FAKÜLTE)
20001,ACİL YARDIM VE AFET YÖNETİMİ(YÜKSEKOKUL)
19502,ADLİ BİLİMLER
19002,ADLİ BİLİŞİM MÜHENDİSLİĞİ
39001,ADLİ BİLİŞİM MÜHENDİSLİĞİ(M.T.O.K.)
19003,AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ
50005,AĞAÇ İŞLERİ ENDÜSTRİ MÜHENDİSLİĞİ(M.T.O.K.)
10001,AİLE VE TÜKETİCİ BİLİMLERİ
18002,AKTÜERYA BİLİMLERİ(FAKÜLTE)
20004,AKTÜERYA BİLİMLERİ(YÜKSEKOKUL)
10003,ALMAN DİLİ VE EDEBİYATI
97100,ALMANCA MÜTERCİM VE TERCÜMANLIK(FAKÜLTE)
97101,ALMANCA MÜTERCİM VE TERCÜMANLIK(YÜKSEKOKUL)
10004,ALMANCA ÖĞRETMENLİĞİ
10005,AMERİKAN KÜLTÜRÜ VE EDEBİYATI
19515,ANTRENÖRLÜK EĞİTİMİ(FAKÜLTE)
97102,ANTRENÖRLÜK EĞİTİMİ(YÜKSEKOKUL)
10006,ANTROPOLOJİ
10007,ARAP DİLİ VE EDEBİYATI
97105,ARAPÇA MÜTERCİM VE TERCÜMANLIK(FAKÜLTE)
97106,ARAPÇA MÜTERCİM VE TERCÜMANLIK(YÜKSEKOKUL)
10008,ARAPÇA ÖĞRETMENLİĞİ
10010,ARKEOLOJİ
10009,ARKEOLOJİ VE SANAT TARİHİ
19006,ARNAVUT DİLİ VE EDEBİYATI
10011,ASTRONOMİ VE UZAY BİLİMLERİ
555540,AYAKKABI TASARIMI VE ÜRETİMİ
10013,AZERBAYCAN TÜRKÇESİ VE EDEBİYATI
10801,BAHÇE BİTKİLERİ
19072,BALIKÇILIK TEKNOLOJİSİ MÜHENDİSLİĞİ
20007,BANKACILIK
10015,BANKACILIK VE FİNANS
18013,BANKACILIK VE SİGORTACILIK(FAKÜLTE)
20807,BANKACILIK VE SİGORTACILIK(YÜKSEKOKUL)
29002,BASIM TEKNOLOJİLERİ
10019,BASIN VE YAYIN
60002,BATI DİLLERİ
29003,BEDEN EĞİTİMİ VE SPOR ÖĞRETMENLİĞİ(FAKÜLTE)
97109,BEDEN EĞİTİMİ VE SPOR ÖĞRETMENLİĞİ(YÜKSEKOKUL)
10020,BESLENME VE DİYETETİK(FAKÜLTE)
20008,BESLENME VE DİYETETİK(YÜKSEKOKUL)
555547,BİLGİ GÜVENLİĞİ TEKNOLOJİSİ(FAKÜLTE)
97111,BİLGİ GÜVENLİĞİ TEKNOLOJİSİ(YÜKSEKOKUL)
10021,BİLGİ VE BELGE YÖNETİMİ
10023,BİLGİSAYAR BİLİMLERİ
10024,BİLGİSAYAR MÜHENDİSLİĞİ
30001,BİLGİSAYAR MÜHENDİSLİĞİ(M.T.O.K.)
555548,BİLGİSAYAR TEKNOLOJİSİ VE BİLİŞİM SİSTEMLERİ
20101,BİLGİSAYAR VE ÖĞRETİM TEKNOLOJİLERİ ÖĞRETMENLİĞİ
11400,BİLİM TARİHİ
10027,BİLİŞİM SİSTEMLERİ MÜHENDİSLİĞİ
39002,BİLİŞİM SİSTEMLERİ MÜHENDİSLİĞİ(M.T.O.K.)
10028,BİLİŞİM SİSTEMLERİ VE TEKNOLOJİLERİ(FAKÜLTE)
97112,BİLİŞİM SİSTEMLERİ VE TEKNOLOJİLERİ(YÜKSEKOKUL)
10802,BİTKİ KORUMA
11409,BİTKİSEL ÜRETİM VE TEKNOLOJİLERİ
19009,BİYOENFORMATİK VE GENETİK
10029,BİYOKİMYA
10031,BİYOLOJİ
10030,BİYOLOJİ ÖĞRETMENLİĞİ
10032,BİYOMEDİKAL MÜHENDİSLİĞİ
39003,BİYOMEDİKAL MÜHENDİSLİĞİ(M.T.O.K.)
10033,BİYOMÜHENDİSLİK
10818,BİYOSİSTEM MÜHENDİSLİĞİ
11408,BİYOTEKNOLOJİ
19011,BOŞNAK DİLİ VE EDEBİYATI
10034,BULGAR DİLİ VE EDEBİYATI
97147,BULGARCA MÜTERCİM VE TERCÜMANLIK
10237,CEVHER HAZIRLAMA MÜHENDİSLİĞİ
10036,COĞRAFYA
49000,COĞRAFYA(AÇIKÖĞRETİM)
10035,COĞRAFYA ÖĞRETMENLİĞİ
10037,ÇAĞDAŞ TÜRK LEHÇELERİ VE EDEBİYATLARI
10038,ÇAĞDAŞ YUNAN DİLİ VE EDEBİYATI
10039,ÇALIŞMA EKONOMİSİ VE ENDÜSTRİ İLİŞKİLERİ
49001,ÇALIŞMA EKONOMİSİ VE ENDÜSTRİ İLİŞKİLERİ(AÇIKÖĞRETİM)
19013,ÇERKEZ DİLİ VE KÜLTÜRÜ
11001,ÇEVİRİBİLİMİ
10042,ÇEVRE MÜHENDİSLİĞİ
10043,ÇİN DİLİ VE EDEBİYATI
97148,ÇİNCE MÜTERCİM VE TERCÜMANLIK
19073,ÇİZGİ FİLM VE ANİMASYON
70300,ÇOCUK GELİŞİMİ(AÇIKÖĞRETİM)
10701,ÇOCUK GELİŞİMİ(FAKÜLTE)
20901,ÇOCUK GELİŞİMİ(YÜKSEKOKUL)
10046,DENİZ ULAŞTIRMA İŞLETME MÜHENDİSLİĞİ(FAKÜLTE)
97114,DENİZ ULAŞTIRMA İŞLETME MÜHENDİSLİĞİ(YÜKSEKOKUL)
11106,DENİZCİLİK İŞLETMELERİ YÖNETİMİ
10047,DERİ MÜHENDİSLİĞİ
18004,DİJİTAL OYUN TASARIMI
19015,DİL VE KONUŞMA TERAPİSİ(FAKÜLTE)
555549,DİL VE KONUŞMA TERAPİSİ(YÜKSEKOKUL)
19016,DİLBİLİMİ
10049,DİŞ HEKİMLİĞİ
60006,DOĞU DİLLERİ
10247,EBELİK(FAKÜLTE)
20024,EBELİK(YÜKSEKOKUL)
10050,ECZACILIK
998877,EGZERSİZ VE SPOR BİLİMLERİ
97151,EGZERSİZ VE SPOR BİLİMLERİ(AÇIKÖĞRETİM)
10051,EKONOMETRİ
10053,EKONOMİ
10052,EKONOMİ VE FİNANS
705000,EL SANATLARI
39004,EL SANATLARI(M.T.O.K.)
10055,ELEKTRİK MÜHENDİSLİĞİ
10056,ELEKTRİK-ELEKTRONİK MÜHENDİSLİĞİ
30003,ELEKTRİK-ELEKTRONİK MÜHENDİSLİĞİ(M.T.O.K.)
10057,ELEKTRONİK MÜHENDİSLİĞİ
97158,ELEKTRONİK TİCARET VE YÖNETİMİ
50020,ELEKTRONİK TİCARET VE YÖNETİMİ(AÇIKÖĞRETİM)
10058,ELEKTRONİK VE HABERLEŞME MÜHENDİSLİĞİ
10059,ENDÜSTRİ MÜHENDİSLİĞİ
10062,ENDÜSTRİYEL TASARIM(FAKÜLTE)
97120,ENDÜSTRİYEL TASARIM(YÜKSEKOKUL)
19018,ENDÜSTRİYEL TASARIM MÜHENDİSLİĞİ
39005,ENDÜSTRİYEL TASARIM MÜHENDİSLİĞİ(M.T.O.K.)
10160,ENERJİ BİLİMİ VE TEKNOLOJİLERİ
19530,ENERJİ MÜHENDİSLİĞİ
10063,ENERJİ SİSTEMLERİ MÜHENDİSLİĞİ
30004,ENERJİ SİSTEMLERİ MÜHENDİSLİĞİ(M.T.O.K.)
19019,ENERJİ YÖNETİMİ
11301,ERGOTERAPİ
707000,ERMENİ DİLİ VE KÜLTÜRÜ
10065,ESKİ YUNAN DİLİ VE EDEBİYATI
10066,FARS DİLİ VE EDEBİYATI
97152,FARSÇA MÜTERCİM VE TERCÜMANLIK
10068,FELSEFE
49002,FELSEFE(AÇIKÖĞRETİM)
10067,FELSEFE GRUBU ÖĞRETMENLİĞİ
10069,FEN BİLGİSİ ÖĞRETMENLİĞİ
19020,FİLM TASARIMI VE YAZARLIĞI
11401,FİLM TASARIMI VE YÖNETİMİ
19021,FİLM TASARIMI VE YÖNETMENLİĞİ
60302,FİNANS VE BANKACILIK(FAKÜLTE)
97122,FİNANS VE BANKACILIK(YÜKSEKOKUL)
10074,FİZİK
10071,FİZİK MÜHENDİSLİĞİ
10072,FİZİK ÖĞRETMENLİĞİ
11016,FİZYOTERAPİ VE REHABİLİTASYON(FAKÜLTE)
20033,FİZYOTERAPİ VE REHABİLİTASYON(YÜKSEKOKUL)
19550,FOTOĞRAF
19023,FOTOĞRAF VE VİDEO
554500,FOTONİK
10075,FRANSIZ DİLİ VE EDEBİYATI
97157,FRANSIZCA MÜTERCİM VE TERCÜMANLIK
10076,FRANSIZCA ÖĞRETMENLİĞİ
19024,GASTRONOMİ VE MUTFAK SANATLARI(FAKÜLTE)
50008,GASTRONOMİ VE MUTFAK SANATLARI(FAKÜLTE)(M.T.O.K)
29022,GASTRONOMİ VE MUTFAK SANATLARI(YÜKSEKOKUL)
19075,GAYRİMENKUL GELİŞTİRME VE YÖNETİMİ(FAKÜLTE)
29501,GAYRİMENKUL GELİŞTİRME VE YÖNETİMİ(YÜKSEKOKUL)
10077,GAZETECİLİK
39006,GELENEKSEL TÜRK SANATLARI(M.T.O.K.)
10079,GEMİ İNŞAATI VE GEMİ MAKİNELERİ MÜHENDİSLİĞİ
10080,GEMİ MAKİNELERİ İŞLETME MÜHENDİSLİĞİ
11017,GEMİ VE DENİZ TEKNOLOJİSİ MÜHENDİSLİĞİ
11112,GEMİ VE YAT TASARIMI
10081,GENETİK VE BİYOMÜHENDİSLİK
19086,GENETİK VE YAŞAM BİLİMLERİ PROGRAMLARI
10816,GEOMATİK MÜHENDİSLİĞİ
10705,GERONTOLOJİ
10082,GIDA MÜHENDİSLİĞİ
97124,GIDA TEKNOLOJİSİ(FAKÜLTE)
21114,GIDA TEKNOLOJİSİ(YÜKSEKOKUL)
11404,GİRİŞİMCİLİK
10819,GÖRSEL İLETİŞİM TASARIMI
50002,GÖRSEL İLETİŞİM TASARIMI(AÇIKÖĞRETİM)
19570,GÖRSEL SANATLAR
39020,GÖRSEL SANATLAR(M.T.O.K.)
